0	[7700]
1	[19814]
2	[12800]
3	[4207]
4	[13665, 14686]
5	[1462]
6	[9325]
7	[12081]
8	[12081]
9	[14122]
10	[14122]
11	[12027]
12	[4343]
13	[4343, 11136, 13307]
14	[9497]
15	[18576]
16	[20995]
17	[20995, 6923]
18	[14465]
19	[4855]
20	[4855, 10093, 2182]
21	[3780]
22	[12957]
23	[14760, 13387, 8043, 17630, 203]
24	[8361]
25	[2071]
26	[16174]
27	[12712, 10223]
28	[12712, 9267]
29	[5826]
30	[6156, 5397, 6642, 8196]
31	[19691]
32	[12108]
33	[12108, 870]
34	[11397]
35	[11397]
36	[21197]
37	[17471]
38	[1504]
39	[13570]
40	[716]
41	[716, 20379, 1736, 7264, 10328]
42	[716]
43	[716]
44	[716]
45	[18952]
46	[18952]
47	[19956]
48	[4409]
49	[12860]
50	[1131]
51	[1355]
52	[5621]
53	[11215]
54	[11215]
55	[4497]
56	[2883]
57	[1181]
58	[15601]
59	[17744]
60	[17181]
61	[4889]
62	[11770]
63	[9027]
64	[11665]
65	[11665]
66	[10901, 12921, 12135, 13587, 12261, 16554]
67	[20119]
68	[20119]
69	[17318]
70	[3963]
71	[3963, 13121]
72	[3607]
73	[7308]
74	[7308, 4034, 12308, 20113]
75	[11815]
76	[20497, 5206]
77	[4805, 6192]
78	[4805]
79	[3779]
80	[17592]
81	[8369]
82	[12257]
83	[12257]
84	[19245]
85	[17763]
86	[17763]
87	[9690]
88	[18378]
89	[2159]
90	[7089]
91	[18560, 21179, 9060, 11201, 16237, 9930, 7045]
92	[1498]
93	[1498]
94	[1498]
95	[9943]
96	[9943]
97	[318, 9372]
98	[318]
99	[318]
100	[318]
101	[11044, 12275]
102	[1278]
103	[20186]
104	[12256]
105	[7368]
106	[20622]
107	[13981]
108	[19479]
109	[19479]
110	[6349]
111	[9650]
112	[11643]
113	[20645]
114	[12679]
115	[14550]
116	[14550]
117	[1655]
118	[10455]
119	[10455, 17099, 6506, 12023]
120	[10455, 3627, 21338, 17421, 6347]
121	[12275]
122	[17797]
123	[7725]
124	[20554]
125	[2415]
126	[11819]
127	[11819]
128	[11819, 8630]
129	[20688]
130	[20688, 11699, 2931, 1661, 1075, 7855, 11840, 18849, 12991, 2150]
131	[17593, 11416]
132	[16140]
133	[7940]
134	[14815]
135	[14815]
136	[14815, 10328]
137	[11757, 13415]
138	[19465]
139	[19465]
140	[2209]
141	[2209]
142	[9149]
143	[9149]
144	[9149]
145	[4202, 12834]
146	[13377]
147	[13377]
148	[13377]
149	[6295]
150	[632]
151	[17758]
152	[17758]
153	[17376]
154	[5992, 17366, 5165, 21109, 18319]
155	[11833]
156	[7818]
157	[7745]
158	[16271]
159	[9904, 5383]
160	[15172]
161	[15172, 15104, 4326, 7430]
162	[13158]
163	[4141]
164	[549, 4479, 5106, 17727, 10109, 7482, 20011]
165	[10391, 9526]
166	[10391]
167	[10391]
168	[13091, 20850]
169	[13091]
170	[1108]
171	[833]
172	[833]
173	[3819]
174	[3819]
175	[19630]
176	[19168]
177	[14996]
178	[1884, 10958]
179	[611]
180	[4377]
181	[4377]
182	[5273]
183	[8081]
184	[8081]
185	[4959]
186	[9813]
187	[9813]
188	[9813]
189	[19810]
190	[9725]
191	[9771]
192	[14403]
193	[1264, 18370, 10536, 14340, 12019, 1405]
194	[19445, 10218, 2369, 17990, 1658, 2495]
195	[18867]
196	[20361]
197	[16441]
198	[16441]
199	[2913]
200	[16490]
201	[7786]
202	[1592]
203	[1592, 8811, 7544]
204	[1592]
205	[734]
206	[17134, 2205, 1953]
207	[17134]
208	[2327]
209	[2327]
210	[2327, 16726, 4907, 17243]
211	[19437]
212	[10263]
213	[19304, 17226]
214	[19304]
215	[12272]
216	[20267]
217	[20267, 8697, 15766, 8337, 13470]
218	[20267, 11524]
219	[2311]
220	[15482]
221	[1318]
222	[1318]
223	[8643]
224	[8376, 9049]
225	[7955]
226	[12907]
227	[12907, 16039]
228	[14203]
229	[14203]
230	[18265]
231	[18265]
232	[19959]
233	[19959, 8919]
234	[19959, 11085]
235	[17821, 19452]
236	[15839]
237	[16391, 14105, 1665, 4931, 15713]
238	[11737, 15014, 3955, 6353]
239	[21034]
240	[6207, 18903, 19329]
241	[14952]
242	[14105, 4041]
243	[14105]
244	[14105]
245	[19822]
246	[14874]
247	[14874]
248	[6784]
249	[6784]
250	[15536]
251	[15536]
252	[15536]
253	[5762]
254	[15700]
255	[9847]
256	[9847, 410]
257	[9847, 18811, 2885, 5049]
258	[3023]
259	[2945]
260	[2945]
261	[21073]
262	[21073]
263	[21073, 19416, 6234]
264	[21073, 11362, 15607, 12882, 7698, 8426, 5824, 13189, 3322, 2541, 535, 1846, 16521, 10142, 12678, 2062]
265	[17768]
266	[13024, 3666, 10469, 535, 17226]
267	[2364, 16055]
268	[20344]
269	[18968]
270	[11074]
271	[11074]
272	[11074, 18186, 19746, 13256, 6651, 15672, 13877, 2369, 12497, 6350, 6457]
273	[16001]
274	[16001]
275	[16001]
276	[18401]
277	[15168]
278	[15168]
279	[15168, 1276, 20961]
280	[19234]
281	[19234]
282	[10402]
283	[17535]
284	[4160, 15784]
285	[19349]
286	[13428]
287	[5981]
288	[19737]
289	[14916]
290	[14916]
291	[14916]
292	[14916]
293	[14916]
294	[4340, 14221]
295	[4340]
296	[4340, 356, 18758, 12964, 16385, 1263, 20227]
297	[4340, 2103, 1518, 6007, 4396]
298	[11355, 8806, 8974, 7648]
299	[6913]
300	[14291]
301	[873]
302	[13522]
303	[19639]
304	[2370]
305	[10979]
306	[10979]
307	[13030]
308	[2767, 13087, 8697]
309	[8744, 6921]
310	[8744]
311	[13354]
312	[10072]
313	[10072, 14707, 8511]
314	[1520]
315	[16113]
316	[938]
317	[6020]
318	[6020]
319	[20041]
320	[20041]
321	[20041]
322	[14833]
323	[12924]
324	[19247]
325	[20379]
326	[12942]
327	[12942]
328	[12942]
329	[6987]
330	[6987, 7950, 14449]
331	[356, 19095, 4266, 7916, 18070]
332	[356]
333	[356]
334	[17142, 20434, 1392, 9380, 10062, 6979, 18580, 19256]
335	[356]
